Time_s,Thrust_N
0.051,18.69443403
0.0512,18.63377503
0.0514,18.63377503
0.0516,18.75509303
0.0518,18.63377503
0.052,18.75509303
0.0522,18.75509303
0.0524,18.75509303
0.0526,18.63377503
0.0528,18.69443403
0.053,18.75509303
0.0532,18.63377503
0.0534,18.69443403
0.0536,18.45179803
0.0538,18.63377503
0.054,18.63377503
0.0542,18.57311603
0.0544,18.63377503
0.0546,18.57311603
0.0548,18.75509303
0.055,18.63377503
0.0552,18.63377503
0.0554,18.69443403
0.0556,18.51245703
0.0558,18.63377503
0.056,18.57311603
0.0562,18.63377503
0.0564,18.57311603
0.0566,18.63377503
0.0568,18.51245703
0.057,18.51245703
0.0572,18.45179803
0.0574,18.57311603
0.0576,18.45179803
0.0578,18.51245703
0.058,18.75509303
0.0582,18.57311603
0.0584,17.96652604
0.0586,18.45179803
0.0588,18.63377503
0.059,18.63377503
0.0592,18.63377503
0.0594,18.57311603
0.0596,18.45179803
0.0598,18.57311603
0.06,18.57311603
0.0602,18.63377503
0.0604,18.57311603
0.0606,18.57311603
0.0608,18.57311603
0.061,18.63377503
0.0612,18.51245703
0.0614,18.51245703
0.0616,18.57311603
0.0618,18.57311603
0.062,18.57311603
0.0622,18.45179803
0.0624,18.63377503
0.0626,18.63377503
0.0628,18.63377503
0.063,18.57311603
0.0632,18.57311603
0.0634,18.63377503
0.0636,18.45179803
0.0638,18.57311603
0.064,18.33048003
0.0642,18.57311603
0.0644,18.57311603
0.0646,18.63377503
0.0648,18.63377503
0.065,18.57311603
0.0652,18.39113903
0.0654,18.57311603
0.0656,18.75509303
0.0658,18.02718504
0.066,18.57311603
0.0662,18.57311603
0.0664,18.69443403
0.0666,18.63377503
0.0668,18.81575203
0.067,18.63377503
0.0672,18.63377503
0.0674,18.63377503
0.0676,18.69443403
0.0678,18.69443403
0.068,18.57311603
0.0682,18.57311603
0.0684,18.63377503
0.0686,18.69443403
0.0688,18.63377503
0.069,18.57311603
0.0692,18.75509303
0.0694,18.63377503
0.0696,18.63377503
0.0698,18.51245703
0.07,18.63377503
0.0702,18.57311603
0.0704,18.69443403
0.0706,18.63377503
0.0708,18.57311603
0.071,18.57311603
0.0712,18.57311603
0.0714,18.99772902
0.0716,18.63377503
0.0718,18.81575203
0.072,18.57311603
0.0722,18.57311603
0.0724,18.57311603
0.0726,18.63377503
0.0728,18.63377503
0.073,18.63377503
0.0732,18.93707002
0.0734,18.57311603
0.0736,18.63377503
0.0738,18.63377503
0.074,18.63377503
0.0742,18.63377503
0.0744,18.57311603
0.0746,18.51245703
0.0748,18.57311603
0.075,18.63377503
0.0752,18.51245703
0.0754,18.57311603
0.0756,18.57311603
0.0758,18.57311603
0.076,18.63377503
0.0762,18.57311603
0.0764,18.57311603
0.0766,18.57311603
0.0768,18.57311603
0.077,18.57311603
0.0772,18.63377503
0.0774,18.57311603
0.0776,18.57311603
0.0778,18.63377503
0.078,18.57311603
0.0782,18.63377503
0.0784,18.57311603
0.0786,18.57311603
0.0788,18.69443403
0.079,18.57311603
0.0792,18.63377503
0.0794,18.57311603
0.0796,18.69443403
0.0798,18.57311603
0.08,18.63377503
0.0802,18.51245703
0.0804,18.63377503
0.0806,18.63377503
0.0808,18.57311603
0.081,18.57311603
0.0812,18.45179803
0.0814,18.63377503
0.0816,18.75509303
0.0818,18.51245703
0.082,18.63377503
0.0822,18.57311603
0.0824,18.57311603
0.0826,18.63377503
0.0828,18.63377503
0.083,18.75509303
0.0832,18.57311603
0.0834,18.51245703
0.0836,18.69443403
0.0838,18.57311603
0.084,18.69443403
0.0842,18.57311603
0.0844,18.45179803
0.0846,18.75509303
0.0848,18.63377503
0.085,18.69443403
0.0852,18.63377503
0.0854,18.63377503
0.0856,18.63377503
0.0858,18.63377503
0.086,18.63377503
0.0862,22.45529198
0.0864,18.63377503
0.0866,18.57311603
0.0868,18.51245703
0.087,18.69443403
0.0872,18.63377503
0.0874,18.63377503
0.0876,18.69443403
0.0878,18.57311603
0.088,18.63377503
0.0882,18.51245703
0.0884,18.63377503
0.0886,18.57311603
0.0888,18.63377503
0.089,18.63377503
0.0892,18.57311603
0.0894,18.57311603
0.0896,18.63377503
0.0898,18.45179803
0.09,18.75509303
0.0902,18.57311603
0.0904,18.45179803
0.0906,18.57311603
0.0908,18.69443403
0.091,18.63377503
0.0912,18.63377503
0.0914,18.57311603
0.0916,18.57311603
0.0918,18.26982103
0.092,18.57311603
0.0922,18.45179803
0.0924,18.51245703
0.0926,18.57311603
0.0928,18.51245703
0.093,18.57311603
0.0932,18.45179803
0.0934,18.57311603
0.0936,18.75509303
0.0938,18.63377503
0.094,18.57311603
0.0942,18.57311603
0.0944,18.57311603
0.0946,18.57311603
0.0948,18.57311603
0.095,18.63377503
0.0952,18.69443403
0.0954,18.51245703
0.0956,18.63377503
0.0958,18.57311603
0.096,18.69443403
0.0962,18.57311603
0.0964,18.57311603
0.0966,18.63377503
0.0968,18.63377503
0.097,18.57311603
0.0972,18.63377503
0.0974,18.63377503
0.0976,18.63377503
0.0978,18.57311603
0.098,18.57311603
0.0982,18.57311603
0.0984,18.57311603
0.0986,18.57311603
0.0988,18.51245703
0.099,18.63377503
0.0992,18.51245703
0.0994,18.57311603
0.0996,18.51245703
0.0998,18.51245703
0.1,18.63377503
0.1002,18.63377503
0.1004,18.63377503
0.1006,18.63377503
0.1008,18.75509303
0.101,18.45179803
0.1012,18.57311603
0.1014,18.63377503
0.1016,18.69443403
0.1018,18.63377503
0.102,18.63377503
0.1022,18.63377503
0.1024,18.57311603
0.1026,18.57311603
0.1028,18.63377503
0.103,18.63377503
0.1032,18.51245703
0.1034,18.57311603
0.1036,18.69443403
0.1038,18.63377503
0.104,18.75509303
0.1042,18.63377503
0.1044,18.63377503
0.1046,18.63377503
0.1048,18.63377503
0.105,18.63377503
0.1052,18.57311603
0.1054,18.57311603
0.1056,18.69443403
0.1058,18.69443403
0.106,18.63377503
0.1062,18.57311603
0.1064,18.75509303
0.1066,18.51245703
0.1068,18.57311603
0.107,18.57311603
0.1072,18.63377503
0.1074,18.45179803
0.1076,18.57311603
0.1078,18.51245703
0.108,18.57311603
0.1082,18.51245703
0.1084,18.57311603
0.1086,18.63377503
0.1088,18.57311603
0.109,18.63377503
0.1092,18.57311603
0.1094,18.63377503
0.1096,18.63377503
0.1098,18.63377503
0.11,18.57311603
0.1102,18.45179803
0.1104,18.57311603
0.1106,18.57311603
0.1108,18.57311603
0.111,18.69443403
0.1112,18.51245703
0.1114,18.51245703
0.1116,18.51245703
0.1118,18.57311603
0.112,18.51245703
0.1122,18.63377503
0.1124,18.57311603
0.1126,18.57311603
0.1128,18.57311603
0.113,18.57311603
0.1132,18.69443403
0.1134,18.63377503
0.1136,18.63377503
0.1138,18.57311603
0.114,18.63377503
0.1142,18.63377503
0.1144,18.75509303
0.1146,18.63377503
0.1148,18.63377503
0.115,18.57311603
0.1152,18.45179803
0.1154,18.63377503
0.1156,18.63377503
0.1158,18.57311603
0.116,18.45179803
0.1162,18.45179803
0.1164,18.75509303
0.1166,18.69443403
0.1168,18.63377503
0.117,18.51245703
0.1172,18.63377503
0.1174,18.63377503
0.1176,18.57311603
0.1178,18.45179803
0.118,18.57311603
0.1182,18.57311603
0.1184,18.63377503
0.1186,18.63377503
0.1188,18.69443403
0.119,18.57311603
0.1192,18.57311603
0.1194,18.57311603
0.1196,18.63377503
0.1198,18.57311603
0.12,18.57311603
0.1202,18.63377503
0.1204,18.57311603
0.1206,18.57311603
0.1208,18.57311603
0.121,18.63377503
0.1212,18.63377503
0.1214,18.69443403
0.1216,18.45179803
0.1218,18.57311603
0.122,18.63377503
0.1222,18.57311603
0.1224,18.57311603
0.1226,18.81575203
0.1228,18.57311603
0.123,18.75509303
0.1232,18.57311603
0.1234,18.57311603
0.1236,18.57311603
0.1238,18.57311603
0.124,18.63377503
0.1242,18.63377503
0.1244,18.51245703
0.1246,18.63377503
0.1248,18.63377503
0.125,18.57311603
0.1252,18.51245703
0.1254,18.57311603
0.1256,18.63377503
0.1258,18.51245703
0.126,18.57311603
0.1262,18.57311603
0.1264,18.57311603
0.1266,18.63377503
0.1268,18.57311603
0.127,22.33397398
0.1272,18.45179803
0.1274,18.57311603
0.1276,18.57311603
0.1278,18.57311603
