Time_s,Thrust_N
0.0262,-4.146926724
0.0264,-3.122014074
0.0266,-3.954755602
0.0268,-3.698527439
0.027,-3.122014074
0.0272,-4.146926724
0.0274,-3.186071114
0.0276,-3.826641521
0.0278,-3.76258448
0.028,-3.122014074
0.0282,-4.082869683
0.0284,-3.057957033
0.0286,-3.890698561
0.0288,-3.634470399
0.029,-3.250128155
0.0292,-4.275040805
0.0294,-2.993899992
0.0296,-4.082869683
0.0298,-3.634470399
0.03,-3.057957033
0.0302,-4.531268968
0.0304,-3.122014074
0.0306,-3.890698561
0.0308,-3.890698561
0.031,-3.378242236
0.0312,-4.082869683
0.0314,-3.250128155
0.0316,-4.082869683
0.0318,-3.76258448
0.032,-3.506356318
0.0322,-4.531268968
0.0324,-2.73767183
0.0326,-3.698527439
0.0328,-3.76258448
0.033,-3.378242236
0.0332,-4.339097846
0.0334,-3.314185196
0.0336,-4.275040805
0.0338,-3.954755602
0.034,-3.378242236
0.0342,-4.082869683
0.0344,-2.929842952
0.0346,-4.146926724
0.0348,-3.634470399
0.035,-3.314185196
0.0352,-4.339097846
0.0354,-2.993899992
0.0356,-4.146926724
0.0358,-3.634470399
0.036,-3.378242236
0.0362,-4.275040805
0.0364,-3.122014074
0.0366,-4.082869683
0.0368,-3.634470399
0.037,-3.506356318
0.0372,-4.339097846
0.0374,-2.865785911
0.0376,-4.339097846
0.0378,-3.634470399
0.038,-3.506356318
0.0382,-4.082869683
0.0384,-2.993899992
0.0386,-4.210983765
0.0388,-3.634470399
0.039,-3.506356318
0.0392,-4.275040805
0.0394,-3.057957033
0.0396,-4.146926724
0.0398,-3.506356318
0.04,-3.378242236
0.0402,-4.082869683
0.0404,-2.673614789
0.0406,-4.659383049
0.0408,-3.506356318
0.041,-3.570413358
0.0412,-4.082869683
0.0414,-2.73767183
0.0416,-4.082869683
0.0418,-3.506356318
0.042,-2.993899992
0.0422,-4.210983765
0.0424,-2.73767183
0.0426,-4.210983765
0.0428,-3.506356318
0.043,-3.506356318
0.0432,-4.275040805
0.0434,-2.993899992
0.0436,-4.467211927
0.0438,-3.506356318
0.044,-3.378242236
0.0442,-4.210983765
0.0444,-2.993899992
0.0446,-4.082869683
0.0448,-3.378242236
0.045,-3.506356318
0.0452,-4.082869683
0.0454,-2.929842952
0.0456,-4.339097846
0.0458,-3.378242236
0.046,-3.506356318
0.0462,-4.210983765
0.0464,-2.993899992
0.0466,-4.018812643
0.0468,-3.378242236
0.047,-3.506356318
0.0472,-4.275040805
0.0474,-3.186071114
0.0476,-4.979668252
0.0478,-3.506356318
0.048,-3.698527439
0.0482,-4.082869683
0.0484,-3.186071114
0.0486,-4.467211927
0.0488,-3.250128155
0.049,-3.698527439
0.0492,-4.082869683
0.0494,-3.506356318
0.0496,-4.339097846
0.0498,-3.76258448
0.05,-3.76258448
0.0502,-4.082869683
0.0504,-3.506356318
0.0506,-4.210983765
0.0508,-3.314185196
0.051,-3.954755602
0.0512,-4.082869683
0.0514,-3.122014074
0.0516,-4.210983765
0.0518,-3.378242236
0.052,-5.428067537
0.0522,-3.890698561
0.0524,-3.122014074
0.0526,-4.146926724
0.0528,-3.314185196
0.053,-3.890698561
0.0532,-4.082869683
0.0534,-3.378242236
0.0536,-4.210983765
0.0538,-3.314185196
