Time_s,Thrust_N
0.0884,15.44786521
0.0886,15.62984221
0.0888,15.44786521
0.089,15.56918321
0.0892,15.50852421
0.0894,15.44786521
0.0896,15.44786521
0.0898,15.44786521
0.09,15.44786521
0.0902,15.44786521
0.0904,15.44786521
0.0906,15.50852421
0.0908,15.44786521
0.091,15.26588821
0.0912,15.56918321
0.0914,14.65929822
0.0916,15.32654721
0.0918,15.44786521
0.092,15.38720621
0.0922,15.38720621
0.0924,15.50852421
0.0926,15.69050121
0.0928,15.62984221
0.093,15.62984221
0.0932,15.69050121
0.0934,15.69050121
0.0936,15.81181921
0.0938,15.81181921
0.094,15.69050121
0.0942,15.9331372
0.0944,16.1151142
0.0946,15.9331372
0.0948,15.9937962
0.095,16.0544552
0.0952,16.0544552
0.0954,16.0544552
0.0956,16.0544552
0.0958,16.1757732
0.096,16.1757732
0.0962,16.2364322
0.0964,16.1757732
0.0966,16.2970912
0.0968,16.2970912
0.097,16.2364322
0.0972,16.4184092
0.0974,16.2364322
0.0976,16.4184092
0.0978,16.6003862
0.098,16.4184092
0.0982,16.5397272
0.0984,16.6003862
0.0986,16.5397272
0.0988,16.3577502
0.099,16.4184092
0.0992,16.4184092
0.0994,16.3577502
0.0996,16.6003862
0.0998,16.6003862
0.1,16.6610452
0.1002,16.72170419
0.1004,17.20697619
0.1006,16.90368119
0.1008,17.08565819
0.101,17.38895319
0.1012,17.32829419
0.1014,17.63158918
0.1016,17.81356618
0.1018,17.63158918
0.102,17.87422518
0.1022,17.99554318
0.1024,18.17752018
0.1026,18.17752018
0.1028,18.35949717
0.103,18.48081517
0.1032,18.60213317
0.1034,18.48081517
0.1036,18.78411017
0.1038,18.78411017
0.104,18.84476917
0.1042,19.14806416
0.1044,19.14806416
0.1046,19.39070016
0.1048,19.45135916
0.105,19.75465416
0.1052,19.87597216
0.1054,19.93663115
0.1056,20.30058515
0.1058,20.42190315
0.106,20.66453915
0.1062,20.90717514
0.1064,21.08915214
0.1066,21.21047014
0.1068,21.39244714
0.107,21.63508313
0.1072,21.69574213
0.1074,22.05969613
0.1076,22.24167313
0.1078,22.36299113
0.108,22.66628612
0.1082,23.03024012
0.1084,23.27287611
0.1086,23.45485311
0.1088,23.69748911
0.109,23.94012511
0.1092,24.1827611
0.1094,24.5467151
0.1096,24.6680331
0.1098,24.91066909
0.11,25.21396409
0.1102,25.88121308
0.1104,26.00253108
0.1106,26.54846207
0.1108,26.97307507
0.111,27.39768806
0.1112,27.76164206
0.1114,28.18625505
0.1116,28.48955005
0.1118,29.09614004
0.112,29.33877604
0.1122,29.76338903
0.1124,30.18800203
0.1126,33.46358799
0.1128,30.79459202
0.113,31.46184101
0.1132,31.82579501
0.1134,32.371726
0.1136,32.91765699
0.1138,33.52424699
0.114,33.82754198
0.1142,34.49479098
0.1144,34.85874497
0.1146,35.64731196
0.1148,36.25390195
0.115,36.67851495
0.1152,37.28510494
0.1154,37.83103593
0.1156,38.55894393
0.1158,39.10487492
0.116,39.77212391
0.1162,40.6213499
0.1164,41.22793989
0.1166,41.83452988
0.1168,42.50177888
0.117,43.16902787
0.1172,44.20023086
0.1174,44.98879785
0.1176,45.83802384
0.1178,46.86922682
0.118,47.77911181
0.1182,48.9316328
0.1184,49.78085879
0.1186,50.87272077
0.1188,52.14655976
0.119,53.23842174
0.1192,54.63357873
0.1194,55.78609971
0.1196,57.1205977
0.1198,58.39443668
0.12,59.60761667
0.1202,61.06343265
0.1204,62.57990763
0.1206,64.09638261
0.1208,65.55219859
0.121,67.00801457
0.1212,68.64580755
0.1214,70.34425953
0.1216,71.98205251
0.1218,73.0739145
0.122,75.25763847
0.1222,76.83477245
0.1224,78.59388343
0.1226,80.29233541
0.1228,81.99078739
0.123,83.74989837
0.1232,85.63032734
0.1234,87.38943832
0.1236,89.5125033
0.1238,91.63556827
0.124,93.51599725
0.1242,95.57840322
0.1244,97.7014682
0.1246,100.1278282
0.1248,102.3115521
0.125,104.3132991
0.1252,106.6183411
0.1254,108.9840421
0.1256,111.107107
0.1258,113.412149
0.126,115.595873
0.1262,117.9615739
0.1264,120.3879339
0.1266,122.8749529
0.1268,125.3013129
0.127,127.6670138
0.1272,130.3360098
0.1274,132.6410518
0.1276,135.0674117
0.1278,137.4937717
0.128,140.3447447
0.1282,143.0743996
0.1284,145.5007596
0.1286,148.3517326
0.1288,151.0813875
0.129,153.7503835
0.1292,156.4193795
0.1294,159.0883754
0.1296,161.6360534
0.1298,164.3050494
0.13,166.7920683
0.1302,169.2790873
0.1304,171.7661063
0.1306,174.1924663
0.1308,176.6794852
0.131,178.7418912
0.1312,181.4108872
0.1314,183.5946111
0.1316,185.7783351
0.1318,188.0833771
0.132,190.5097371
0.1322,192.814779
0.1324,194.937844
0.1326,197.546181
0.1328,199.7299049
0.133,202.1562649
0.1332,204.6432839
0.1334,206.7663489
0.1336,209.2533678
0.1338,211.7403868
0.134,213.8027928
0.1342,216.1684937
0.1344,218.3522177
0.1346,220.4146237
0.1348,222.7196657
0.135,224.7820716
0.1352,227.0264546
0.1354,229.1495196
0.1356,231.3332435
0.1358,233.0316955
0.136,235.5793735
0.1362,237.6417795
0.1364,239.8255034
0.1366,242.0698864
0.1368,244.2536104
0.137,246.4979934
0.1372,248.9243533
0.1374,251.1080773
0.1376,253.6557553
0.1378,255.9001382
0.138,258.3264982
0.1382,260.6315402
0.1384,263.1185592
0.1386,265.6662371
0.1388,268.2139151
0.139,270.7615931
0.1392,273.309271
0.1394,275.978267
0.1396,278.586604
0.1398,281.0736229
0.14,283.6819599
0.1402,286.4116149
0.1404,288.9592928
0.1406,291.4463118
0.1408,294.2366258
0.141,296.5416677
0.1412,299.2713227
0.1414,301.6976827
0.1416,304.0633837
0.1418,306.6110616
0.142,308.9767626
0.1422,311.4031226
0.1424,314.0721185
0.1426,316.2558425
0.1428,318.9248385
0.143,319.7134055
0.1432,323.7775584
0.1434,325.6579874
0.1436,328.0843474
0.1438,330.5107073
0.144,332.5124543
0.1442,334.5748603
0.1444,336.8192432
0.1446,338.6390132
0.1448,340.3981242
0.145,342.0965762
0.1452,343.4310742
0.1454,344.8868901
0.1456,346.4033651
0.1458,347.9198401
0.146,349.8609281
0.1462,350.3462001
0.1464,351.6200391
0.1466,352.4086061
0.1468,353.439809
0.147,354.228376
0.1472,355.320238
0.1474,355.866169
0.1476,356.472759
0.1478,357.261326
0.148,357.989234
0.1482,358.353188
0.1484,359.081096
0.1486,359.44505
0.1488,360.233617
0.149,360.536912
0.1492,361.0828429
0.1494,361.3861379
0.1496,361.7500919
0.1498,362.1747049
0.15,362.5386589
0.1502,363.0845899
0.1504,363.7518389
0.1506,363.7518389
0.1508,364.2371109
0.151,364.9043599
0.1512,365.4502909
0.1514,365.8749039
0.1516,366.1781989
0.1518,366.9061069
0.152,367.5733559
0.1522,367.9373099
0.1524,368.5438999
0.1526,369.0291718
0.1528,369.8783978
0.153,370.1816928
0.1532,370.6669648
0.1534,371.2735548
0.1536,371.8194858
0.1538,372.1227808
0.154,372.5473938
0.1542,373.3359608
0.1544,373.6999148
0.1546,373.8212328
0.1548,374.5491408
0.155,374.7917768
0.1552,375.5803438
0.1554,375.3377078
0.1556,375.5196848
0.1558,375.8229798
0.156,376.0656158
0.1562,376.3082518
0.1564,376.2475928
0.1566,376.3082518
0.1568,376.1869338
0.157,376.3689108
0.1572,376.2475928
0.1574,376.3082518
0.1576,376.3082518
0.1578,376.3689108
0.158,376.3689108
0.1582,376.3689108
0.1584,376.3689108
0.1586,376.1262748
0.1588,376.2475928
0.159,376.0656158
0.1592,376.0656158
0.1594,375.8229798
0.1596,375.9442978
0.1598,376.0656158
0.16,375.9442978
0.1602,376.1869338
0.1604,376.4295698
0.1606,376.2475928
0.1608,376.7935238
0.161,376.7935238
0.1612,377.3394547
0.1614,377.4001137
0.1616,377.7034087
0.1618,378.0067037
0.162,378.0673627
0.1622,378.5526347
0.1624,378.6739527
0.1626,378.7952707
0.1628,379.0985657
0.163,379.0985657
0.1632,379.4625197
0.1634,379.5231787
0.1636,379.6444967
0.1638,379.8264737
0.164,379.6444967
0.1642,380.0084507
0.1644,380.0691097
0.1646,380.1297687
0.1648,380.1904277
0.165,380.4330637
0.1652,380.4937227
0.1654,380.4330637
0.1656,380.1297687
0.1658,380.2510867
0.166,380.1297687
0.1662,380.0084507
0.1664,379.7658147
0.1666,379.9477917
0.1668,379.8264737
0.167,379.8871327
0.1672,379.9477917
0.1674,379.8871327
0.1676,380.0691097
0.1678,380.0084507
0.168,380.0084507
0.1682,380.0084507
0.1684,380.1904277
0.1686,380.1297687
0.1688,380.1297687
0.169,380.0084507
0.1692,380.3117457
0.1694,380.1297687
0.1696,380.1297687
0.1698,380.3117457
0.17,380.3724047
0.1702,380.4937227
0.1704,380.4937227
0.1706,380.4937227
0.1708,380.4937227
0.171,380.6150407
0.1712,380.5543817
0.1714,380.6756997
0.1716,380.4937227
0.1718,380.4937227
0.172,380.5543817
0.1722,380.6150407
0.1724,380.6756997
0.1726,380.7970177
0.1728,380.8576767
0.173,381.1003127
0.1732,381.2216307
0.1734,377.9460447
0.1736,381.4036077
0.1738,381.7069027
0.174,381.7069027
0.1742,381.8282207
0.1744,381.9495387
0.1746,381.8282207
0.1748,381.9495387
0.175,381.8888797
0.1752,381.8888797
0.1754,382.1921747
0.1756,382.1921747
0.1758,382.3741517
0.176,382.5561287
0.1762,382.7381057
0.1764,386.0136916
0.1766,383.2233777
0.1768,383.4053547
0.177,383.4660137
0.1772,383.5873317
0.1774,383.7086497
0.1776,383.8299677
0.1778,383.9512857
0.178,384.1332627
0.1782,383.9512857
0.1784,384.0726037
0.1786,383.8299677
0.1788,384.0119447
0.179,384.0726037
0.1792,383.9512857
0.1794,383.9512857
0.1796,384.1939217
0.1798,384.2545807
0.18,384.1332627
0.1802,384.1939217
0.1804,384.3152397
0.1806,384.2545807
0.1808,384.1332627
0.181,383.8299677
0.1812,383.8906267
0.1814,383.8299677
0.1816,383.6479907
0.1818,383.8299677
0.182,383.4053547
0.1822,383.5873317
0.1824,383.5873317
0.1826,383.6479907
0.1828,383.9512857
0.183,383.9512857
0.1832,384.1332627
0.1834,384.4365577
0.1836,384.6185347
0.1838,384.4972167
0.184,384.8611707
0.1842,384.6185347
0.1844,384.6791937
0.1846,384.6185347
0.1848,384.7398527
0.185,384.6791937
0.1852,384.5578757
0.1854,384.8005117
0.1856,384.9824887
0.1858,385.1038067
0.186,385.3464426
0.1862,385.7710556
0.1864,385.9530326
0.1866,385.8317146
0.1868,386.3169866
0.187,386.3169866
0.1872,386.3776456
0.1874,386.2563276
0.1876,386.1956686
0.1878,386.1956686
0.188,386.0743506
0.1882,385.8923736
0.1884,385.8923736
0.1886,386.3776456
0.1888,385.8317146
0.189,386.0743506
0.1892,386.3776456
0.1894,386.5596226
0.1896,386.6202816
0.1898,386.9842356
0.19,387.0448946
0.1902,387.4088486
0.1904,387.1055536
0.1906,387.2268716
0.1908,387.3481896
0.191,387.4088486
0.1912,387.4695076
0.1914,387.2875306
0.1916,387.6514846
0.1918,387.5301666
0.192,387.7121436
0.1922,387.6514846
0.1924,387.7121436
0.1926,387.6514846
0.1928,387.7728026
0.193,387.8334616
0.1932,387.7728026
0.1934,387.7728026
0.1936,387.7728026
0.1938,387.7728026
0.194,387.5301666
0.1942,387.4088486
0.1944,387.4088486
0.1946,386.9842356
0.1948,387.1055536
0.195,387.0448946
0.1952,386.5596226
0.1954,386.6202816
0.1956,386.4989636
0.1958,386.2563276
0.196,385.9530326
0.1962,385.9530326
0.1964,385.8923736
0.1966,385.6497376
0.1968,385.7103966
0.197,385.5890786
0.1972,385.8317146
0.1974,385.4677606
0.1976,385.9530326
0.1978,385.6497376
0.198,385.8923736
0.1982,386.1350096
0.1984,386.1350096
0.1986,386.3776456
0.1988,386.6809406
0.199,386.8022586
0.1992,387.1055536
0.1994,387.3481896
0.1996,387.8334616
0.1998,388.0760976
0.2,360.4463484
0.2002,360.5130733
0.2004,361.1135974
0.2006,361.6473966
0.2008,362.1811958
0.201,362.5148203
0.2012,362.8484448
0.2014,363.5156938
0.2016,364.2496677
0.2018,364.716742
0.202,365.1838163
0.2022,366.1179649
0.2024,366.3848645
0.2026,367.1855633
0.2028,367.7860873
0.203,368.3198865
0.2032,369.0538604
0.2034,369.7878343
0.2036,370.5218082
0.2038,370.9888825
0.204,371.5894066
0.2042,372.3901054
0.2044,372.8571797
0.2046,373.5244287
0.2048,373.7913283
0.205,373.9247781
0.2052,373.8580532
0.2054,374.1249528
0.2056,374.3251275
0.2058,374.5253022
0.206,374.3251275
0.2062,374.2584026
0.2064,374.3918524
0.2066,374.1249528
0.2068,373.9247781
0.207,373.991503
0.2072,373.8580532
0.2074,373.7913283
0.2076,373.7246034
0.2078,373.7246034
0.208,373.5911536
0.2082,373.5911536
0.2084,373.1908042
0.2086,373.3909789
0.2088,372.9906295
0.209,373.2575291
0.2092,373.1240793
0.2094,373.1908042
0.2096,373.1240793
0.2098,378.1951716
0.21,373.5244287
0.2102,373.8580532
0.2104,374.1249528
0.2106,374.7922018
0.2108,375.1258263
0.211,375.5929006
0.2112,376.1934246
0.2114,376.7939487
0.2116,377.3277479
0.2118,377.6613724
0.212,378.1284467
0.2122,378.9958704
0.2124,379.1293202
0.2126,379.5963945
0.2128,379.930019
0.213,380.8641676
0.2132,381.0643423
0.2134,381.8650411
0.2136,381.9984909
0.2138,382.6657399
0.214,382.7991897
0.2142,383.266264
0.2144,383.5331636
0.2146,383.5331636
0.2148,383.8000632
0.215,384.1336876
0.2152,384.3338623
0.2154,384.3338623
0.2156,384.4005872
0.2158,384.6674868
0.216,384.7342117
0.2162,385.0678362
0.2164,385.201286
0.2166,385.6016354
0.2168,385.6683603
0.217,385.8018101
0.2172,385.868535
0.2174,386.1354346
0.2176,386.535784
0.2178,386.8026836
0.218,387.0028583
0.2182,387.203033
0.2184,387.6701073
0.2186,387.870282
0.2188,388.0037318
0.219,387.4699326
0.2192,388.1371816
0.2194,388.537531
0.2196,388.7377057
0.2198,388.8711555
0.22,389.1380551
0.2202,389.20478
0.2204,389.6051294
0.2206,389.6718543
0.2208,389.872029
0.221,390.2056535
0.2212,390.4058282
0.2214,390.6727278
0.2216,390.8061776
0.2218,390.9396274
0.222,391.4067017
0.2222,391.4734266
0.2224,391.6736013
0.2226,391.7403262
0.2228,391.9405009
0.223,392.3408502
0.2232,392.6744747
0.2234,392.9413743
0.2236,393.2082739
0.2238,393.4084486
0.224,393.6086233
0.2242,393.808798
0.2244,394.1424225
0.2246,394.1424225
0.2248,394.3425972
0.225,394.3425972
0.2252,394.7429466
0.2254,394.6762217
0.2256,395.0765711
0.2258,395.143296
0.226,395.0765711
0.2262,395.4769205
0.2264,395.810545
0.2266,396.1441695
0.2268,396.0107197
0.227,396.477794
0.2272,396.6112438
0.2274,396.8781434
0.2276,397.0115932
0.2278,397.4119426
0.228,397.9457418
0.2282,397.812292
0.2284,398.2793663
0.2286,398.2793663
0.2288,398.4128161
0.229,398.3460912
0.2292,398.5462659
0.2294,398.5462659
0.2296,398.6797157
0.2298,398.6797157
0.23,398.6129908
0.2302,398.8798904
0.2304,398.6797157
0.2306,398.8798904
0.2308,398.6129908
0.231,398.7464406
0.2312,398.9466153
0.2314,398.8131655
0.2316,399.3469647
0.2318,399.2802398
0.232,399.7473141
0.2322,399.9474888
0.2324,400.5480128
0.2326,400.8149124
0.2328,401.2152618
0.233,401.6823361
0.2332,402.0826855
0.2334,402.6164847
0.2336,402.9501092
0.2338,403.2170088
0.234,403.4839084
0.2342,404.0844325
0.2344,404.0177076
0.2346,404.2178823
0.2348,404.2178823
0.235,404.4847819
0.2352,404.7516815
0.2354,404.8184064
0.2356,405.1520309
0.2358,405.1520309
0.236,405.6191052
0.2362,406.2863542
0.2364,406.4865289
0.2366,406.7534285
0.2368,407.2872277
0.237,407.4206775
0.2372,401.2819867
0.2374,408.0879265
0.2376,408.1546514
0.2378,408.4215509
0.238,408.4215509
0.2382,408.7551754
0.2384,408.4882758
0.2386,408.6217256
0.2388,408.6217256
0.239,408.5550007
0.2392,408.5550007
0.2394,408.5550007
0.2396,408.4882758
0.2398,408.4882758
0.24,408.4882758
0.2402,409.3556995
0.2404,408.4215509
0.2406,408.4215509
0.2408,408.4215509
0.241,408.4882758
0.2412,408.6217256
0.2414,408.5550007
0.2416,408.7551754
0.2418,408.6217256
0.242,408.6884505
0.2422,409.0887999
0.2424,409.3556995
0.2426,409.6225991
0.2428,409.8227738
0.243,410.2231232
0.2432,410.2231232
0.2434,410.6901975
0.2436,410.8236473
0.2438,411.2239967
0.244,411.3574465
0.2442,411.8245208
0.2444,411.7577959
0.2446,412.2248702
0.2448,412.4917698
0.245,412.7586694
0.2452,412.8253943
0.2454,412.8921192
0.2456,413.1590188
0.2458,413.2257437
0.246,413.2924686
0.2462,413.6260931
0.2464,413.025569
0.2466,413.3591935
0.2468,413.025569
0.247,413.1590188
0.2472,412.8253943
0.2474,412.6252196
0.2476,412.5584947
0.2478,412.35832
0.248,412.2915951
0.2482,412.0914204
0.2484,412.2248702
0.2486,412.2915951
0.2488,412.2248702
0.249,412.6252196
0.2492,412.7586694
0.2494,412.8253943
0.2496,413.1590188
0.2498,413.2924686
0.25,413.6260931
0.2502,413.8929927
0.2504,414.2933421
0.2506,414.2933421
0.2508,414.4267919
0.251,414.5602417
0.2512,414.7604164
0.2514,414.9605911
0.2516,415.2942156
0.2518,415.4943903
0.252,415.5611152
0.2522,415.9614646
0.2524,416.0949144
0.2526,416.0949144
0.2528,416.2283642
0.253,416.4285388
0.2532,416.5619886
0.2534,416.4285388
0.2536,416.5619886
0.2538,416.2950891
0.254,416.6954384
0.2542,416.5619886
0.2544,416.2950891
0.2546,416.4285388
0.2548,416.2283642
