Time_s,Tank_Pressure_bar,Comb_Pressure_Fwd_bar,Comb_Pressure_Aft_bar,Thrust_N
3.1026,26.03256168,27.1447878,19.97148446,362.2991081
3.1028,26.19033903,27.13906038,19.96583176,362.357657
3.103,26.13734273,27.17663297,19.95475821,362.4789552
3.1032,26.05273252,27.18984878,19.94910583,362.5375005
3.1034,25.97339339,27.19223956,19.90008678,362.3450471
3.1036,26.04158996,27.13780115,19.89172475,362.1525981
3.1038,26.20989603,27.16995975,19.88336292,361.6464142
3.104,26.12001993,27.16964456,19.89397358,361.3284833
3.1042,26.0038015,27.1557991,19.91813548,361.0105597
3.1044,26.09833863,27.12030577,19.91790442,360.8808803
3.1046,26.08749834,27.1037552,19.91225288,360.5002241
3.1048,26.19256969,27.10073481,19.93641371,360.5587861
3.105,26.14484808,27.11124412,19.9388926,360.9310641
3.1052,26.01809891,27.09740011,19.94408156,361.1778479
3.1054,26.05467667,27.08626227,19.95198051,361.3618838
3.1056,26.02803212,27.0913597,19.9571692,361.4204327
3.1058,26.13836642,27.04234093,19.9650678,361.5417208
3.106,26.20128316,27.09614263,19.98109626,361.5375262
3.1062,26.09561374,27.0850053,19.95647458,361.5333316
3.1064,26.03736066,27.10092531,19.95624304,361.2154451
3.1066,26.03705857,27.07896545,19.94788174,361.2112542
3.1068,26.00514795,27.14088114,19.94494041,361.2070633
3.107,26.00484622,27.1162157,19.93386956,361.2656086
3.1072,26.05195619,27.13484017,19.92821862,361.6378298
3.1074,25.91995629,27.12370312,19.90630904,361.7591032
3.1076,26.05135164,27.13421049,19.89794877,361.6921718
3.1078,26.05631714,27.14201211,19.87062057,362.127108
3.108,26.05601481,27.09570439,19.87039001,362.2483713
3.1082,26.10838907,27.1170334,19.87557878,362.4950954
3.1084,26.07121293,27.09237019,19.89702526,362.1772336
3.1086,26.0551078,27.04065391,19.86698871,361.169345
3.1088,26.0442705,27.08092012,19.91011138,361.4788024
3.109,26.0808402,27.02649986,19.9315567,361.4746078
3.1092,26.03313137,27.01265989,19.91506834,361.0313158
3.1094,26.04336386,27.06104072,19.92567517,361.0898539
3.1096,26.06939781,27.01203297,19.91731559,361.0229369
3.1098,26.06909529,27.0685282,19.93605039,360.9560214
3.11,25.98978611,27.0817398,19.94123782,361.3281844
3.1102,26.00001861,27.10577154,19.95726254,361.1358176
3.1104,26.06292074,27.06488076,19.95161229,361.1316267
3.1106,26.00994901,27.04833638,19.9324157,361.0019896
3.1108,25.96224537,27.06966263,19.94573069,360.6214659
3.111,25.95667727,27.00713377,19.92924384,360.2409509
3.1112,26.00904346,27.0771492,19.94255854,360.2994911
3.1114,25.86654119,27.0930645,19.92336293,359.8562683
3.1116,26.01897301,27.09275007,19.87707641,359.9148114
3.1118,26.02920416,27.09784536,19.87684572,359.973353
3.112,25.99730307,27.08130188,19.86848782,360.0318932
3.1122,26.04439929,27.06475878,19.85742106,360.0904319
3.1124,26.04409701,27.0698542,19.88157167,360.462552
3.1126,26.06486,27.02896897,19.87592297,360.7092316
3.1128,26.01716119,27.03406467,19.87027439,360.9559055
3.113,26.08531973,27.00940884,19.89171508,360.8890016
3.1132,26.00075885,26.9928675,19.90231974,360.8848129
3.1134,26.03205349,27.00607725,19.89667103,360.6297725
3.1136,26.09494346,26.95978594,19.91269301,360.8137233
3.1138,25.97878969,27.00274578,19.91246188,360.4332665
3.114,26.02061526,27.02406848,19.91493951,360.4290829
3.1142,26.06243984,27.01564135,19.91199963,360.4248992
3.1144,26.0042139,27.01532777,19.91718589,360.4207156
3.1146,25.93545789,27.01501418,19.91966336,360.2911148
3.1148,25.86143783,27.03363133,19.91130624,360.0988092
3.115,25.86640321,27.03602189,19.91107511,360.1573363
3.1152,25.96088233,27.0113691,19.91084398,360.403981
3.1154,25.97111189,27.02457703,19.88894455,360.462503
3.1156,25.92342182,27.04589744,19.87246263,360.2702039
3.1158,25.94944758,27.03206231,19.84243872,360.3914301
3.116,25.99126856,27.03445271,19.81512394,360.5126533
3.1162,25.93304946,27.04765973,19.83926962,360.0695492
3.1164,26.00646057,27.03923332,19.86070636,360.0653692
3.1166,26.01142375,27.00647012,19.84151735,359.4341765
3.1168,25.95847146,27.00074844,19.85212028,359.8689076
3.117,26.04767461,26.99773094,19.87626438,359.8020299
3.1172,26.06843185,26.98389744,19.86520061,359.6724547
3.1174,26.0891886,26.94572841,19.86767821,359.5428823
3.1176,26.03623784,26.95082348,19.8836967,359.4760105
3.1178,26.0043472,26.92347139,19.89159034,359.534534
3.118,25.98298663,26.93127047,19.86698624,359.5303598
3.1182,26.00900799,26.9498848,19.87487987,359.5261856
3.1184,25.99817693,26.9495719,19.89089752,359.396622
3.1186,25.97681716,26.96277798,19.89066658,359.2670613
3.1188,25.88175598,26.97327998,19.87689562,358.9494237
3.119,25.92883471,27.00000412,19.86583295,359.760259
3.1192,25.90221216,27.00780173,19.89538964,359.3172393
3.1194,25.95981803,27.06156152,19.86266373,359.1249941
3.1196,25.92266737,27.03961821,19.85430947,359.1835146
3.1198,25.90130992,27.00686098,19.80804555,359.1166545
3.12,25.96417782,27.01736169,19.79427648,359.5513069
3.1202,25.97966832,27.01704798,19.78592329,359.4844438
3.1204,25.94251913,26.98158862,19.78569355,359.7310194
3.1206,25.98432886,26.97857183,19.81524873,359.7268423
3.1208,25.96823571,26.98366546,19.83397246,359.6599792
3.121,26.09426413,26.96172479,19.8174962,359.5304324
3.1212,25.98342368,26.90734398,19.8199737,359.5262575
